price_date,symbol,asset_type,source_name,open,high,low,close,adjusted_close,volume,currency
2020-04-02,AAPL,equity,yahoo,60.084999084472656,61.287498474121094,59.224998474121094,61.23249816894531,59.18142318725586,165934000.0,USD
2020-04-03,AAPL,equity,yahoo,60.70000076293945,61.42499923706055,59.74250030517578,60.352500915527344,58.33091735839844,129880000.0,USD
2020-04-06,AAPL,equity,yahoo,62.724998474121094,65.77749633789062,62.345001220703125,65.61750030517578,63.419551849365234,201820400.0,USD
2020-04-07,AAPL,equity,yahoo,67.69999694824219,67.92500305175781,64.75,64.85749816894531,62.68500518798828,202887200.0,USD
2020-04-08,AAPL,equity,yahoo,65.68499755859375,66.84249877929688,65.30750274658203,66.51750183105469,64.2894058227539,168895200.0,USD
2020-04-09,AAPL,equity,yahoo,67.17500305175781,67.51750183105469,66.17500305175781,66.99749755859375,64.7533187866211,161834800.0,USD
2020-04-13,AAPL,equity,yahoo,67.07749938964844,68.42500305175781,66.4574966430664,68.3125,66.02427673339844,131022800.0,USD
2020-04-14,AAPL,equity,yahoo,70.0,72.0625,69.51249694824219,71.76249694824219,69.35871124267578,194994800.0,USD
2020-04-15,AAPL,equity,yahoo,70.5999984741211,71.5824966430664,70.15750122070312,71.10749816894531,68.72567749023438,131154400.0,USD
2020-04-16,AAPL,equity,yahoo,71.84500122070312,72.05000305175781,70.5875015258789,71.67250061035156,69.27174377441406,157125200.0,USD
2020-04-17,AAPL,equity,yahoo,71.17250061035156,71.73750305175781,69.21499633789062,70.69999694824219,68.33179473876953,215250000.0,USD
2020-04-20,AAPL,equity,yahoo,69.48750305175781,70.41999816894531,69.2125015258789,69.23249816894531,66.91346740722656,130015200.0,USD
2020-04-21,AAPL,equity,yahoo,69.06999969482422,69.3125,66.35749816894531,67.09249877929688,64.84513854980469,180991600.0,USD
2020-04-22,AAPL,equity,yahoo,68.40249633789062,69.4749984741211,68.05000305175781,69.0250015258789,66.71292877197266,116862400.0,USD
2020-04-23,AAPL,equity,yahoo,68.96749877929688,70.4375,68.71749877929688,68.75749969482422,66.45438385009766,124814400.0,USD
2020-04-24,AAPL,equity,yahoo,69.30000305175781,70.75250244140625,69.25,70.74250030517578,68.37288665771484,126161200.0,USD
2020-04-27,AAPL,equity,yahoo,70.44999694824219,71.13500213623047,69.98750305175781,70.7925033569336,68.42121124267578,117087600.0,USD
2020-04-28,AAPL,equity,yahoo,71.2699966430664,71.4574966430664,69.55000305175781,69.6449966430664,67.31211853027344,112004800.0,USD
2020-04-29,AAPL,equity,yahoo,71.18250274658203,72.4175033569336,70.97250366210938,71.93250274658203,69.52302551269531,137280800.0,USD
2020-04-30,AAPL,equity,yahoo,72.48999786376953,73.63249969482422,72.0875015258789,73.44999694824219,70.98970031738281,183064000.0,USD
2020-05-01,AAPL,equity,yahoo,71.5625,74.75,71.4625015258789,72.26750183105469,69.8468017578125,240616800.0,USD
2020-05-04,AAPL,equity,yahoo,72.2925033569336,73.42250061035156,71.58000183105469,73.29000091552734,70.83505249023438,133568000.0,USD
2020-05-05,AAPL,equity,yahoo,73.76499938964844,75.25,73.61499786376953,74.38999938964844,71.89820861816406,147751200.0,USD
2020-05-06,AAPL,equity,yahoo,75.11499786376953,75.80999755859375,74.71749877929688,75.15750122070312,72.6400146484375,142333600.0,USD
2020-05-07,AAPL,equity,yahoo,75.80500030517578,76.2925033569336,75.49250030517578,75.93499755859375,73.39144134521484,115215200.0,USD
2020-05-08,AAPL,equity,yahoo,76.41000366210938,77.5875015258789,76.07250213623047,77.53250122070312,75.1382827758789,133838400.0,USD
2020-05-11,AAPL,equity,yahoo,77.0250015258789,79.26249694824219,76.80999755859375,78.75250244140625,76.32061004638672,145946400.0,USD
2020-05-12,AAPL,equity,yahoo,79.4574966430664,79.92250061035156,77.72750091552734,77.85250091552734,75.44841003417969,162301200.0,USD
2020-05-13,AAPL,equity,yahoo,78.0374984741211,78.98750305175781,75.80249786376953,76.9124984741211,74.53742980957031,200622400.0,USD
2020-05-14,AAPL,equity,yahoo,76.12750244140625,77.44750213623047,75.38249969482422,77.38500213623047,74.9953384399414,158929200.0,USD
2020-05-15,AAPL,equity,yahoo,75.0875015258789,76.9749984741211,75.05249786376953,76.92749786376953,74.55196380615234,166348400.0,USD
2020-05-18,AAPL,equity,yahoo,78.2925033569336,79.125,77.58000183105469,78.73999786376953,76.30850219726562,135178400.0,USD
2020-05-19,AAPL,equity,yahoo,78.75749969482422,79.62999725341797,78.25250244140625,78.28500366210938,75.86756134033203,101729600.0,USD
